event_date,weather_condition,location,country,latitude,longitude,make,model,purpose_of_flight,broad_phase_of_flight,amateur_built,registration_number,engine_type1,injury_severity,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,people_on_board,pilot_type,no_of_engines1
 05/03/2010 ,vmc,"Thuringen, Germany", Germany ,50.7333163,11.0747905,hiller,fh1100,unknown,unknown,no, N8672 ,turbine,fatal(4),4,0,0,0,4,unknown,1
 04/23/2010 ,vmc,"Dallas, GA", United States , 35.920834 , -84.953056 ,amateur,amateur,personal,landing,yes, N831MS ,reciprocating,non-fatal,0,0,0,1,1,private,1
 04/21/2010 ,vmc,"Newfane, VT", United States , 42.997500 , -72.620834 ,md_helicopters,369,external load,maneuvering,no, N400MB ,turbine,non-fatal,0,2,0,0,2,professional,1
 04/09/2010 ,vmc,"Santa Maria, CA", United States , 34.898889 , -120.457500 ,bell,222,positioning,standing,no, N222UT ,turbine,non-fatal,0,0,0,3,3,professional,2
 04/07/2010 ,vmc,"Middleboro, MA", United States , 41.904444 , -70.952222 ,amateur,amateur,personal,landing,yes, N118NR ,reciprocating,non-fatal,0,0,0,1,1,private,1
 04/06/2010 ,vmc,"Temecula, CA", United States , 33.519723 , -117.218334 ,robinson,r44,personal,takeoff,no, N688SS ,reciprocating,non-fatal,0,0,0,3,3,private,1
 04/04/2010 ,vmc,"Idledale, CO", United States , 39.670278 , -105.219723 ,schweizer,269,instructional,landing,no, N67TK ,reciprocating,non-fatal,0,0,2,0,2,instructional,1
 03/28/2010 ,vmc,"Miami, FL", United States , 25.778611 , -80.081111 ,robinson,r22,personal,maneuvering,no, N72377 ,reciprocating,non-fatal,0,0,0,2,2,private,1
 03/25/2010 ,imc,"Brownsville, TN", United States , 35.607222 , -89.195000 ,eurocopter,as350,positioning,cruise,no, N855HW ,turbine,fatal(3),3,0,0,0,3,professional,1
 03/16/2010 ,vmc,"Parker, AZ", United States , 34.136666 , -114.285555 ,eurocopter,as350,other work use,maneuvering,no, N4282 ,turbine,non-fatal,0,0,0,3,3,professional,1
 03/13/2010 ,vmc,"Houston, TX", United States , 29.607222 , -95.158611 ,robinson,r22,instructional,takeoff,no, N822SH ,reciprocating,non-fatal,0,0,0,1,1,instructional,1
 03/11/2010 ,vmc,"Naples, FL", United States , 26.152222 , -81.775834 ,hughes,369,instructional,standing,no, N8618F ,turbine,non-fatal,0,0,0,2,2,instructional,1
 03/10/2010 ,unknown,"Karelia, Russia", Russia ,62.6194031,33.4920267,robinson,r44,personal,unknown,no,,reciprocating,fatal(2),2,0,0,0,2,private,1
 03/07/2010 ,unknown,"Guatemala City, Guatemala", Guatemala ,14.6222328,-90.5185188,bell,206,unknown,unknown,no,,turbine,non-fatal,0,5,0,0,5,unknown,1
 03/06/2010 ,vmc,"Cotulla, TX", United States , 28.602500 , -99.338055 ,robinson,r22,business,maneuvering,no, N922SH ,reciprocating,fatal(2),2,0,0,0,2,professional,1
 03/06/2010 ,vmc,"Delta Junction, AK", United States , 64.088611 , -145.793333 ,md_helicopters,369,unknown,unknown,no, N26TC ,turbine,non-fatal,0,1,0,3,4,unknown,1
 03/04/2010 ,vmc,"Goshen, IN", United States , 41.526389 , -85.794166 ,enstrom,280,flight test,maneuvering,no, N327TB ,reciprocating,non-fatal,0,1,1,0,2,professional,1
 02/19/2010 ,unknown,"Carayaca, Venezuela", Venezuela , 10.525278 , -67.138611 ,bell,206,unknown,unknown,no,,turbine,fatal(4),4,0,0,0,4,unknown,1
 02/17/2010 ,vmc,"Parlier, CA", United States , 37.623611 , -119.506944 ,robinson,r22,personal,unknown,no, N313DA ,reciprocating,non-fatal,0,0,0,2,2,private,1
 02/14/2010 ,vmc,"Cave Creek, AZ", United States , 33.848055 , -111.925278 ,eurocopter,ec135,personal,approach,no, N127TS ,turbine,fatal(5),5,0,0,0,5,private,2
 02/11/2010 ,vmc,"Cheverly, MD", United States , 38.930278 , -76.920000 ,eurocopter,as365,public aircraft - state,takeoff,no, N61MD ,turbine,non-fatal,0,0,0,2,2,professional,2
 02/06/2010 ,vmc,"Fort Pierce, FL", United States , 27.491666 , -80.370278 ,enstrom,f28,personal,maneuvering,no, N426KA ,reciprocating,non-fatal,0,0,0,1,1,private,1
 02/05/2010 ,vmc,"El Paso, TX", United States , 32.108889 , -105.955000 ,aerospatiale,as350,unknown,maneuvering,no, N157BC ,turbine,fatal(3),3,0,0,0,3,unknown,1
 02/04/2010 ,vmc,"Restauracion, Dominican Republic, Dominican Republic", Dominican Republic , 19.303056 , -71.660556 ,robinson,r44,personal,unknown,no, N7535F ,reciprocating,fatal(2),2,0,0,0,2,private,1
 02/02/2010 ,vmc,"Los Banos, CA", United States , 37.051111 , -120.923889 ,hiller,uh12,aerial application,approach,no, N36MV ,reciprocating,non-fatal,0,0,0,1,1,professional,1
 02/02/2010 ,vmc,"Escalon, CA", United States , 37.763611 , -120.926945 ,bell,oh58,positioning,cruise,no, N9286U ,turbine,non-fatal,0,1,0,0,1,professional,1
 01/27/2010 ,vmc,"Horten, Norway, Norway", Norway ,59.4104486,10.4434913742669,robinson,r44,unknown,unknown,no,,reciprocating,fatal(4),4,0,0,0,4,unknown,1
 01/22/2010 ,vmc,"Shafter, CA", United States , 35.473334 , -119.242777 ,bell,47,aerial application,landing,no, N28938 ,reciprocating,non-fatal,0,0,1,0,1,professional,1
 01/21/2010 ,vmc,"San Felipe, Chile", Chile , -32.783333 , -70.666667 ,robinson,r44,personal,unknown,no,,reciprocating,non-fatal,0,0,1,1,2,private,1
 01/18/2010 ,vmc,"New York, NY", United States , 40.754444 , -74.006944 ,eurocopter,as350,positioning,unknown,no, N696BH ,turbine,non-fatal,0,0,0,1,1,professional,1
 01/17/2010 ,vmc,"Reno, NV", United States , 39.526111 , -119.796111 ,eurocopter,as350,positioning,unknown,no, N904CF ,turbine,non-fatal,0,0,0,3,3,professional,1
 01/08/2010 ,vmc,"Kooskia, ID", United States , 46.720834 , -115.085833 ,hughes,369,public aircraft - state,maneuvering,no, N500LW ,turbine,non-fatal,0,3,0,0,3,professional,1
 01/07/2010 ,vmc,"Kalispell, MT", United States , 48.133889 , -113.830556 ,bell,206,personal,landing,no, N127TP ,turbine,non-fatal,0,0,0,2,2,private,1
 01/06/2010 ,imc,"Grantsville, MD", United States , 39.685000 , -79.186111 ,schweizer,269,positioning,unknown,no, N3275M ,reciprocating,non-fatal,0,1,0,0,1,professional,1
 01/05/2010 ,vmc,"Auberry, CA", United States , 37.146389 , -119.461111 ,bell,206,public aircraft - state,maneuvering,no, N5016U ,turbine,fatal(4),4,0,0,0,4,professional,1
 01/01/2010 ,vmc,"Tipton, CA", United States , 36.068889 , -119.261111 ,hiller,uh12,aerial application,maneuvering,no, N440NR ,reciprocating,non-fatal,0,0,1,0,1,professional,1
 12/29/2009 ,unknown,"Pitalito, Colombia", Colombia , 1.851667 , -76.051667 ,hughes,369,unknown,unknown,no,,turbine,fatal(1),1,1,0,0,2,unknown,1
 12/25/2009 ,vmc,"Decatur, TX", United States , 33.209722 , -97.589444 ,bell,407,positioning,takeoff,no, N600CE ,turbine,non-fatal,0,2,1,0,3,professional,1
 12/23/2009 ,vmc,"Canowindra, Australia", Australia , -33.433333 , 148.516667 ,bell,th1f,unknown,unknown,no,,turbine,non-fatal,0,1,0,0,1,unknown,1
 12/18/2009 ,vmc,"Abilene, TX", United States , 32.411389 , -99.681945 ,robinson,r44,personal,maneuvering,no, N442RS ,reciprocating,non-fatal,0,0,0,2,2,private,1
 12/16/2009 ,unknown,"Montreal, Canada, Canada", Canada , 45.483333 , -74.533333 ,robinson,r44,aerial observation,unknown,no,,reciprocating,non-fatal,0,2,0,0,2,professional,1
 12/16/2009 ,vmc,"Hana, Maui, HI", United States , 20.780278 , -156.002222 ,eurocopter,as350,instructional,unknown,no, N87EW ,turbine,non-fatal,0,2,0,0,2,instructional,1
 12/09/2009 ,vmc,"Dorrigo, Australia, Australia", Australia , -30.366667 , 152.733333 ,bell,206,unknown,unknown,no,,turbine,fatal(1),1,1,0,0,2,unknown,1
 12/06/2009 ,vmc,"Temple Bar, AZ", United States , 36.020278 , -114.334722 ,aerospatiale,as355,unknown,unknown,no, N548SA ,turbine,non-fatal,0,0,0,7,7,unknown,2
 11/28/2009 ,vmc,"Indian Key, FL", United States , 24.873611 , -80.672778 ,robinson,r22,personal,standing,no, N324GS ,reciprocating,non-fatal,0,1,0,0,1,private,1
 11/25/2009 ,vmc,"Long Beach, CA", United States , 33.817778 , -118.151389 ,robinson,r22,instructional,landing,no, N505LA ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 11/24/2009 ,unknown,"Netanya, Israel, Israel", Israel , 32.333333 , 34.833333 ,robinson,r44,unknown,unknown,no,,reciprocating,fatal(4),4,0,0,0,4,unknown,1
 11/23/2009 ,vmc,"Grand Canyon, AZ", United States , 35.863333 , -112.076667 ,bell,206,instructional,takeoff,no, N177PA ,turbine,non-fatal,0,0,2,0,2,instructional,1
 11/23/2009 ,vmc,"Fazenida Liberdade, Brazil, Brazil", Brazil , -16.348611 , -56.210278 ,embraer,emb-720,unknown,unknown,no,,turbine,non-fatal,0,0,0,3,3,unknown,1
 11/20/2009 ,vmc,"Kahuku, HI", United States , 21.704722 , -158.005556 ,md_helicopters,369,unknown,standing,no, N551CR ,turbine,non-fatal,0,0,0,5,5,unknown,1
 11/20/2009 ,vmc,"Lebanon, PA", United States , 40.288333 , -76.323889 ,schweizer,269,instructional,landing,no, N321ET ,reciprocating,non-fatal,0,0,0,1,1,instructional,1
 11/18/2009 ,vmc,"Lyons, OR", United States , 44.436389 , -112.662778 ,bell,206,other work use,maneuvering,no, N16869 ,turbine,non-fatal,0,0,0,1,1,professional,1
 11/15/2009 ,unknown,"Cheshire, United Kingdom", United Kingdom ,53.2141028,-2.47177008607121,robinson,r22,unknown,unknown,no,,reciprocating,fatal(1),1,0,0,0,1,unknown,1
 11/14/2009 ,vmc,"Doyle, CA", United States , 39.851389 , -120.350000 ,aerospatiale,as350,positioning,maneuvering,no, N5793P ,turbine,fatal(3),3,0,0,0,3,professional,1
 11/14/2009 ,vmc,"Georgetown, KY", United States , 38.233889 , -84.433611 ,robinson,r22,instructional,maneuvering,no, N2374 ,reciprocating,non-fatal,0,0,2,0,2,instructional,1
 11/14/2009 ,vmc,"Pahokee, FL", United States , 26.791111 , -80.689444 ,robinson,r22,personal,maneuvering,no, N74632 ,reciprocating,non-fatal,0,0,1,0,1,private,1
 11/07/2009 ,vmc,"Adelanto, CA", United States , 34.521945 , -117.462500 ,amateur,amateur,personal,cruise,yes, N183YP ,reciprocating,fatal(3),3,0,0,0,3,private,1
 11/06/2009 ,vmc,"Baxley, GA", United States , 31.741389 , -82.362778 ,hughes,369,personal,takeoff,no, N89ZC ,turbine,non-fatal,0,0,0,1,1,private,1
 11/05/2009 ,vmc,"Morovis, PR", United States , 18.283889 , -66.401389 ,robinson,r44,personal,landing,no, N440M ,reciprocating,non-fatal,0,0,1,3,4,private,1
 11/04/2009 ,vmc,"Globe, AZ", United States , 33.352222 , -110.670556 ,eurocopter,as350,instructional,approach,no, N617LH ,turbine,non-fatal,0,2,0,0,2,instructional,1
 11/01/2009 ,vmc,"High Island A-442A, GM", United States , 28.400000 , -93.941666 ,bell,206,unknown,takeoff,no, N272M ,turbine,non-fatal,0,1,1,0,2,unknown,1
 10/31/2009 ,vmc,"Marsing, ID", United States , 43.550000 , -116.800000 ,robinson,r22,instructional,landing,no, N74607 ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 10/29/2009 ,vmc,"San Juan Batista, CA", United States , 36.625278 , -121.672223 ,robinson,r44,personal,landing,no, N144RF ,reciprocating,non-fatal,0,0,0,1,1,private,1
 10/29/2009 ,vmc,"Loreto, Peru", Peru , -3.723889 , -75.431389 ,aerospatiale,as350,unknown,unknown,no,,turbine,fatal(2),2,1,0,1,4,unknown,1
 10/26/2009 ,vmc,"Verona, Italy", Italy , 42.476389 , 10.714444 ,robinson,r22,personal,unknown,no,,reciprocating,fatal(2),2,0,0,0,2,private,1
 10/25/2009 ,vmc,"Eupora, MS", United States , 33.631111 , -89.467223 ,bell,206,aerial application,maneuvering,no, N57PH ,turbine,non-fatal,0,1,0,0,1,professional,1
 10/24/2009 ,vmc,"Scranton, SC", United States , 33.903889 , -79.683889 ,robinson,r22,instructional,maneuvering,no, N822U ,reciprocating,non-fatal,0,0,0,1,1,instructional,1
 10/22/2009 ,vmc,"Blythe, CA", United States , 33.621945 , -114.866667 ,agusta,aw119,unknown,cruise,no, N119AH ,turbine,non-fatal,0,0,0,5,5,unknown,1
 10/22/2009 ,vmc,"Marana, AZ", United States , 32.509722 , -111.325278 ,eurocopter,as350,instructional,landing,no, N105LN ,turbine,non-fatal,0,0,0,2,2,instructional,1
 10/19/2009 ,vmc,"Winnsboro, SC", United States , 34.315278 , -81.108611 ,md_helicopters,369,instructional,landing,no, N502SL ,turbine,non-fatal,0,0,0,2,2,instructional,1
 10/16/2009 ,vmc,"Los Alamitos, CA", United States , 33.790000 , -118.051389 ,md_helicopters,500,public aircraft - local,landing,no, N521HB ,turbine,non-fatal,0,0,0,2,2,professional,1
 10/16/2009 ,vmc,"Meiners Oaks, CA", United States , 34.449722 , -119.275278 ,amateur,amateur,personal,takeoff,yes, N496SB ,reciprocating,non-fatal,0,0,0,1,1,private,1
 10/15/2009 ,vmc,"La Belle, FL", United States , 26.838055 , -81.643611 ,robinson,r44,personal,maneuvering,no, N3038W ,reciprocating,non-fatal,0,1,3,0,4,private,1
 10/15/2009 ,unknown,"San Jose De Ocoa, Dominican Republic", Dominican Republic ,18.546405,-70.5056703,eurocopter,ec120,unknown,unknown,no, N871SA ,turbine,fatal(3),3,0,0,0,3,unknown,1
 10/14/2009 ,imc,"Tahlequah, OK", United States , 35.888055 , -95.010000 ,robinson,r22,personal,cruise,no, N3234G ,reciprocating,fatal(2),2,0,0,0,2,private,1
 10/12/2009 ,vmc,"San Diego, CA", United States , 32.826111 , -116.972223 ,md_helicopters,600,public aircraft,landing,no, N613BP ,turbine,non-fatal,0,0,1,1,2,professional,1
 10/12/2009 ,vmc,"Fossil, OR", United States , 44.853056 , -119.937777 ,md_helicopters,369,external load,maneuvering,no, N527SH ,turbine,fatal(1),1,0,0,0,1,professional,1
 10/10/2009 ,vmc,"Ocala, FL", United States , 29.170278 , -82.221111 ,bell,oh58,public aircraft,approach,no, N911AF ,turbine,non-fatal,0,0,0,2,2,professional,1
 10/08/2009 ,vmc,"Lewiston, ME", United States , 44.080556 , -70.472500 ,schweizer,269,personal,maneuvering,no, N1835E ,reciprocating,non-fatal,0,0,0,2,2,private,1
 10/02/2009 ,vmc,"Dorrance, PA", United States , 41.083333 , -75.966667 ,bell,47,personal,approach,no, N74004 ,reciprocating,non-fatal,0,0,0,1,1,private,1
 10/01/2009 ,unknown,"Cusco, Peru", Peru , -12.563056 , -72.028056 ,aerospatiale,as350,unknown,unknown,no,,turbine,fatal(3),3,0,0,0,3,unknown,1
 09/28/2009 ,vmc,"Palmer, AK", United States , 61.633333 , -149.288611 ,hughes,369,personal,takeoff,no, N501SU ,turbine,non-fatal,0,0,0,2,2,private,1
 09/27/2009 ,vmc,"Myrtle Creek, OR", United States , 43.001944 , -123.778889 ,bell,oh58,aerial application,takeoff,no, N298CP ,turbine,non-fatal,0,0,1,0,1,professional,1
 09/27/2009 ,vmc,"Mt Charleston, NV", United States , 36.271111 , -115.695833 ,robinson,r44,personal,maneuvering,no, N29LE ,reciprocating,non-fatal,0,0,1,2,3,private,1
 09/26/2009 ,vmc,"Quarryville, PA", United States , 39.857500 , -76.205556 ,schweizer,269,air drop,landing,no, N233JA ,reciprocating,non-fatal,0,0,1,0,1,professional,1
 09/25/2009 ,imc,"Georgetown, SC", United States , 33.288611 , -79.342222 ,eurocopter,as350,other work use,cruise,no, N417AE ,turbine,fatal(3),3,0,0,0,3,professional,1
 09/25/2009 ,vmc,"Annerdale, South Africa", South Africa , -26.242500 , 28.151111 ,robinson,r44,aerial observation,unknown,no,,reciprocating,non-fatal,0,0,0,2,2,professional,1
 09/24/2009 ,vmc,"Tucson, AZ", United States , 32.228334 , -110.999444 ,eurocopter,as350,unknown,landing,no, N103LN ,turbine,non-fatal,0,0,0,4,4,unknown,1
 09/23/2009 ,vmc,"Fort Worth, TX", United States , 33.048611 , -97.295000 ,bell,407,instructional,landing,no, N6040Y ,turbine,non-fatal,0,0,0,2,2,instructional,1
 09/22/2009 ,vmc,"Page, AZ", United States , 36.926111 , -111.448333 ,agusta,aw109,positioning,maneuvering,no, N129AL ,turbine,non-fatal,0,0,0,1,1,professional,1
 09/22/2009 ,vmc,"Blackpool, United Kingdom", United Kingdom , 53.781667 , -3.061944 ,schweizer,269,unknown,unknown,no,,reciprocating,fatal(2),2,0,0,0,2,unknown,1
 09/20/2009 ,vmc,"Valley Center, CA", United States , 33.133889 , -116.919723 ,robinson,r44,personal,landing,no, N4174P ,reciprocating,non-fatal,0,2,0,0,2,private,1
 09/20/2009 ,vmc,"Forest Grove, OR", United States , 45.810000 , -123.178334 ,robinson,r22,instructional,unknown,no, N956SH ,reciprocating,fatal(2),2,0,0,0,2,instructional,1
 09/14/2009 ,vmc,"Irvine, CA", United States , 33.680834 , -117.704167 ,robinson,r22,instructional,landing,no, N796SH ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 09/14/2009 ,unknown,"Perm, Russia", Russia , 57.914444 , 56.021111 ,robinson,r44,unknown,unknown,no,,reciprocating,fatal(2),2,0,0,0,2,unknown,1
 09/13/2009 ,vmc,"Cedar Park, TX", United States , 30.520834 , -97.776389 ,amateur,amateur,personal,approach,yes, N555BB ,reciprocating,non-fatal,0,0,1,0,1,private,1
 09/06/2009 ,vmc,"Thibodaux, LA", United States , 29.747777 , -90.832778 ,bolkow,bo105,other work use,maneuvering,no, N131EH ,turbine,non-fatal,0,0,1,0,1,professional,2
 09/06/2009 ,vmc,"Arvilla, ND", United States , 47.917778 , -97.494444 ,bell,uh1,aerial application,maneuvering,no, N204JB ,turbine,non-fatal,0,1,0,0,1,professional,1
 09/06/2009 ,vmc,"Central, AK", United States , 65.573889 , -144.780834 ,robinson,r44,unknown,go-around,no, N4186Y ,reciprocating,non-fatal,0,0,0,3,3,unknown,1
 09/05/2009 ,vmc,"Preston, TX", United States , 33.882778 , -96.628889 ,schweizer,269,aerial observation,maneuvering,no, N626LH ,reciprocating,non-fatal,0,0,0,2,2,professional,1
 09/03/2009 ,vmc,"Torrance, CA", United States , 33.803333 , -118.339444 ,robinson,r44,personal,unknown,no, N8361X ,reciprocating,non-fatal,0,0,0,1,1,private,1
 09/02/2009 ,imc,"Kurnoon, India", India ,15.8309251,78.0425373,bell,430,unknown,unknown,no,,turbine,fatal(5),5,0,0,0,5,unknown,2
 09/02/2009 ,vmc,"Arapahoe, NE", United States ,39.6416781,-104.3628567,hughes,269,personal,unknown,no, N58163 ,reciprocating,non-fatal,0,0,0,2,2,private,1
 09/01/2009 ,vmc,"Jackson, MS", United States , 32.331389 , -90.207222 ,robinson,r44,other work use,approach,no, N33PX ,reciprocating,fatal(1),1,1,0,0,2,professional,1
 08/27/2009 ,vmc,"Grand Canyon, AZ", United States , 35.995000 , -113.781389 ,aerospatiale,as350,positioning,takeoff,no, N705LV ,turbine,non-fatal,0,0,0,1,1,professional,1
 08/26/2009 ,vmc,"White Plains, NY", United States , 41.066945 , -73.707500 ,bell,206,business,takeoff,no, N22ZA ,turbine,non-fatal,0,0,0,1,1,professional,1
 08/24/2009 ,vmc,"Gumboro Township, DE", United States , 38.795833 , -75.609167 ,bell,206,aerial application,standing,no, N98KR ,turbine,non-fatal,0,0,0,1,1,professional,1
 08/22/2009 ,vmc,"Ras Tanajib, Saudi Arabia", Saudi Arabia , 28.083333 , 48.733333 ,agusta,aw109,unknown,standing,no, N906AH ,turbine,non-fatal,0,0,0,5,5,unknown,1
 08/21/2009 ,vmc,"Tonopah, NV", United States , 38.117778 , -117.715833 ,robinson,r44,personal,maneuvering,no, N19DV ,reciprocating,non-fatal,0,3,0,0,3,private,1
 08/17/2009 ,vmc,"North Captiva Island, FL", United States , 26.602222 , -82.204444 ,eurocopter,ec145,positioning,approach,no, N911LZ ,turbine,non-fatal,0,0,0,3,3,professional,1
 08/13/2009 ,vmc,"Lancaster, CA", United States , 34.740833 , -118.218611 ,eurocopter,as350,public aircraft - local,unknown,no, N217LA ,turbine,non-fatal,0,3,0,0,3,professional,1
 08/12/2009 ,vmc,"Acworth, GA", United States , 34.066111 , -84.676667 ,md_helicopters,369,aerial observation,approach,no, N527BB ,turbine,non-fatal,0,1,1,0,2,professional,1
 08/11/2009 ,vmc,"Covert, MI", United States , 42.256944 , -86.219723 ,bell,47,personal,unknown,no, N9526 ,reciprocating,non-fatal,0,0,0,1,1,private,1
 08/09/2009 ,vmc,"Martinsville, IN", United States , 39.453611 , -86.280000 ,brantly,b2,instructional,unknown,no, N9023Z ,reciprocating,non-fatal,0,0,0,1,1,instructional,1
 08/08/2009 ,vmc,"Hoboken, NJ", United States , 40.743333 , -74.021667 ,eurocopter,as350,unknown,unknown,no, N401LH ,turbine,fatal(9),9,0,0,0,9,unknown,1
 08/05/2009 ,vmc,"Mont Laurier, Canada", Canada , 46.564444 , -75.577778 ,enstrom,f28,unknown,unknown,no,,reciprocating,fatal(2),2,0,0,0,2,unknown,1
 08/04/2009 ,vmc,"Jacksonville, FL", United States , 30.274167 , -81.803056 ,eurocopter,as350,public aircraft - federal,maneuvering,no, N186AE ,turbine,non-fatal,0,0,1,1,2,professional,1
 08/01/2009 ,vmc,"Deer Isle, ME", United States , 44.289444 , -68.690277 ,eurocopter,ec130,personal,maneuvering,no, M-BOAT ,turbine,non-fatal,0,0,4,0,4,private,1
 07/31/2009 ,vmc,"Atlanta, GA", United States , 34.007778 , -84.591389 ,amateur,amateur,personal,maneuvering,yes, N267BC ,reciprocating,non-fatal,0,0,2,0,2,private,1
 07/29/2009 ,vmc,"Troutdale, OR", United States , 42.599444 , -122.401389 ,robinson,r22,instructional,unknown,no, N7176W ,reciprocating,non-fatal,0,0,2,0,2,instructional,1
 07/27/2009 ,vmc,"Troutdale, OR", United States , 45.549166 , -122.401111 ,robinson,r22,instructional,unknown,no, N8340S ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 07/24/2009 ,vmc,"Chelan, WA", United States , 47.866111 , -119.942777 ,sikorsky,s55,other work use,maneuvering,no, N1255T ,turbine,non-fatal,0,0,0,1,1,professional,1
 07/24/2009 ,vmc,"Dunedin, FL", United States , 28.030278 , -82.824723 ,robinson,r44,personal,maneuvering,no, N645JC ,reciprocating,non-fatal,0,0,0,3,3,private,1
 07/23/2009 ,vmc,"Boonsboro, MD", United States , 39.541389 , -77.606389 ,robinson,r44,business,unknown,no, N7189W ,reciprocating,fatal(4),4,0,0,0,4,professional,1
 07/22/2009 ,vmc,"Franklin, PA", United States , 39.806944 , -79.682778 ,hughes,369,external load,unknown,no, N61735 ,turbine,fatal(1),1,0,0,0,1,professional,1
 07/21/2009 ,vmc,"Willow Creek, CA", United States , 40.946389 , -123.632500 ,bell,212,public aircraft - federal,maneuvering,no, N212HP ,turbine,fatal(1),1,0,0,5,6,professional,2
 07/21/2009 ,vmc,"Jerome, AZ", United States , 34.795833 , -112.195000 ,robinson,r22,instructional,unknown,no, N747ER ,reciprocating,non-fatal,0,1,0,1,2,instructional,1
 07/20/2009 ,unknown,"Tajima, Japan", Japan , 35.418056 , 134.892222 ,robinson,r44,personal,unknown,no,,reciprocating,fatal(2),2,0,0,0,2,private,1
 07/19/2009 ,vmc,"Silver Spring, PA", United States , 40.071945 , -76.431945 ,robinson,r44,instructional,unknown,no, N25VH ,reciprocating,non-fatal,0,0,0,1,1,instructional,1
 07/17/2009 ,imc,"Willow Creek, CA", United States , 40.885833 , -123.640555 ,sikorsky,seaking,firefighting,maneuvering,no, N613CK ,turbine,non-fatal,0,0,1,1,2,professional,2
 07/17/2009 ,vmc,"Camp Butler, Iraq", Iraq , 33.233333 , 44.916667 ,md_helicopters,369,instructional,maneuvering,no, N974BW ,turbine,fatal(3),3,1,0,0,4,instructional,1
 07/15/2009 ,vmc,"Sequim, WA", United States , 48.097777 , -123.185277 ,amateur,amateur,instructional,maneuvering,yes, N3213K ,reciprocating,non-fatal,0,0,2,0,2,instructional,1
 07/13/2009 ,vmc,"Marysville, CA", United States , 39.228056 , -121.308056 ,robinson,r44,personal,maneuvering,no, N244HP ,reciprocating,non-fatal,0,0,0,3,3,private,1
 07/13/2009 ,vmc,"Bedford, MA", United States , 42.469723 , -71.288889 ,robinson,r22,instructional,maneuvering,no, N211SH ,reciprocating,non-fatal,0,0,1,1,2,instructional,1
 07/11/2009 ,vmc,"Burlington, WA", United States , 48.520834 , -122.465000 ,bell,206,aerial application,landing,no, N302PD ,turbine,non-fatal,0,0,0,1,1,professional,1
 07/10/2009 ,unknown,"Kinmen, Taiwan", Taiwan , 24.351111 , 118.309444 ,bolkow,bk117,unknown,unknown,no,,turbine,fatal(2),2,1,0,0,3,unknown,2
 07/08/2009 ,vmc,"Turlock, CA", United States , 37.470278 , -120.900556 ,bell,47,aerial application,maneuvering,no, N6768D ,reciprocating,non-fatal,0,0,0,1,1,professional,1
 07/07/2009 ,vmc,"Ocean Shores, WA", United States , 47.002222 , -124.139444 ,bell,47,aerial application,maneuvering,no, N8169J ,turbine,non-fatal,0,0,1,0,1,professional,1
 07/02/2009 ,vmc,"Loris, SC", United States , 34.058889 , -78.898333 ,eurocopter,as350,positioning,approach,no, N53963 ,turbine,non-fatal,0,0,0,3,3,professional,1
 07/02/2009 ,vmc,"Breckenridge, CO", United States ,39.4816537,-106.0383518,bell,206,external load,maneuvering,no, N38AZ ,turbine,non-fatal,0,1,1,0,2,professional,1
 06/27/2009 ,vmc,"Waxahachie, TX", United States , 32.453611 , -96.907500 ,amateur,amateur,personal,unknown,yes, N1934 ,reciprocating,non-fatal,0,0,1,0,1,private,1
 06/25/2009 ,vmc,"Paraburdoo, Australia", Australia , -22.950000 , 116.600000 ,robinson,r22,personal,unknown,no,,reciprocating,fatal(1),1,0,0,0,1,private,1
 06/25/2009 ,vmc,"Lewiston, ID", United States , 46.303333 , -116.951111 ,robinson,r22,instructional,unknown,no, N836SH ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 06/25/2009 ,vmc,"Lakeport, CA", United States , 39.076389 , -123.032223 ,robinson,r44,instructional,maneuvering,no, N515DG ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 06/24/2009 ,vmc,"Morgantown, WV", United States , 39.642777 , -79.916111 ,eurocopter,as350,instructional,unknown,no, N106HN ,turbine,non-fatal,0,0,0,2,2,instructional,1
 06/22/2009 ,unknown,"Barcelona, Spain", Spain ,41.3828939,2.1774322,eurocopter,as350,firefighting,unknown,no,,turbine,fatal(2),2,0,0,0,2,professional,1
 06/21/2009 ,vmc,"Del Ray Beach, FL", United States , 26.345833 , -80.116667 ,robinson,r22,instructional,unknown,no, N2306T ,reciprocating,non-fatal,0,0,2,0,2,instructional,1
 06/18/2009 ,vmc,"Naples, FL", United States , 26.146111 , -81.764722 ,schweizer,269,instructional,takeoff,no, N9421K ,reciprocating,non-fatal,0,1,0,0,1,instructional,1
 06/13/2009 ,vmc,"Titusville, FL", United States , 28.514722 , -80.799166 ,schweizer,269,personal,maneuvering,no, N1565B ,reciprocating,non-fatal,0,0,0,1,1,private,1
 06/12/2009 ,vmc,"Justin, TX", United States , 33.049166 , -97.293333 ,bell,206,instructional,unknown,no, N43791 ,turbine,non-fatal,0,0,0,2,2,instructional,1
